dev_id,active_time,uptime,collisions,messages
BaJH,1.32,24.74,3,205
DCCr,0.34,24.8,4,203
tmZ5,0.33,24.63,2,203
CeKC,0.07,24.55,3,204
d67c,0.64,24.61,5,200
GuTb,1.73,24.64,9,198
kQAA,1.52,25.18,7,203
F9UP,1.14,25.32,7,208
Otno,0.13,24.79,0,207
jFLq,0.04,24.84,3,206
GQtg,1.39,24.87,3,206
NJkx,0.02,24.9,0,208
xDlL,0.15,24.66,1,205
W9Jy,0.4,24.92,5,203
oLKW,1.44,25.01,9,203
4UgF,1.17,24.67,3,205
1SpY,2.07,24.98,6,207
gtOv,0.0,25.05,0,209
9bIR,1.17,24.99,6,204
qIMe,0.24,24.75,4,206
VUFE,0.62,24.72,5,201
lAQy,1.08,24.83,1,208
4i6f,1.41,24.85,25,182
t67T,0.17,24.74,2,204
GOYF,0.01,25.13,0,209
fAv5,0.1,25.09,3,208
6xvv,0.35,24.88,8,199
Y0GO,0.18,24.94,13,195
Etvg,0.13,24.91,2,206
donZ,0.22,24.78,3,204
4FQu,0.05,24.77,1,205
XobP,1.11,24.86,2,207
t1ir,0.0,25.14,4,214
sow7,0.18,24.91,3,205
rdBy,0.09,25.16,4,206
ZXfI,1.24,24.79,5,204
3KQz,0.91,25.15,11,199
EINI,0.0,25.03,1,210
B6Lp,0.04,25.02,3,206
OmKR,0.4,24.97,5,203
BciX,0.02,25.2,5,213
AuCR,0.84,25.15,8,202
pGfX,0.5,25.19,9,201
yK6V,0.34,25.25,6,204
n2eL,0.03,25.12,4,205
gOKH,0.18,25.03,3,208
zIrt,0.03,25.11,5,204
TWFP,0.12,24.93,0,208
7bfe,2.34,25.21,9,205
VMGR,0.07,25.16,1,209
oXBF,0.1,25.22,2,208
dGjc,0.04,25.33,3,208
Q34O,3.4,25.27,11,208
LyPP,2.08,25.1,7,211
drR6,0.75,24.96,6,206
K3H8,0.04,25.24,2,212
DPPo,0.0,25.35,0,211
8Jw2,1.22,25.23,3,209
YhNe,1.68,25.2,13,201
uGCV,0.02,25.32,1,210
d8gC,1.91,25.04,13,202
UaIp,0.28,25.28,7,216
hwfO,0.44,25.28,8,205
Yfz9,1.13,25.35,6,207
VM2e,0.02,25.24,1,209
RyNa,0.41,25.06,2,207
zsgT,0.01,25.32,2,211
DzML,1.02,25.32,1,212
5J5y,0.09,25.26,5,208
M6Mr,1.48,25.3,4,209
rHx7,0.07,25.35,5,208
CIV5,0.0,25.08,2,211
fcVB,1.14,25.33,6,207
0Rl6,0.01,25.33,1,210
vBGO,0.21,25.33,2,209
CIZa,0.1,25.18,1,209
Dnhl,2.5,25.36,11,204
5Igc,0.01,25.3,3,214
7sxE,0.12,25.26,1,209
6E3m,0.02,25.31,2,209
osA8,4.15,25.36,6,213
TP8O,0.01,25.25,2,208
Ppb5,0.0,25.32,1,212
HW9h,0.35,24.83,3,204
wpmv,1.34,25.32,5,208
gfq2,0.72,25.29,8,203
7wPG,0.48,25.36,4,207
pAEx,0.01,25.35,4,215
5Sl2,0.2,25.34,1,210
G5yk,2.13,25.29,7,210
NuYt,0.09,25.28,2,209
zRMn,0.2,25.35,5,206
Coc5,6.21,25.35,7,216
JQJl,0.03,24.62,4,209
GVHs,0.1,25.27,3,210
bL52,1.59,25.23,8,204
LPcK,0.3,25.36,5,206
OFeD,4.77,25.36,16,203
mfCh,4.31,25.12,13,204
