dev_id,active_time,uptime,collisions
nn66,0.16,24.28,2
jLn5,1.16,24.29,1
Hh7f,0.0,24.28,1
VGHy,0.21,24.31,2
xhil,0.16,24.33,4
XPqS,0.14,24.75,4
J836,0.01,25.04,1
pW7M,3.46,24.98,7
X8Kn,0.26,24.77,6
KlSz,0.1,24.68,2
o6Hj,0.01,25.01,0
W4AS,0.03,24.95,7
m9HG,1.02,24.78,9
79S3,0.15,24.58,2
o32G,0.14,24.58,1
AWlH,0.0,24.97,1
FEOW,1.75,24.42,6
QQ5C,0.35,25.01,5
g8Cg,0.03,25.0,2
d6J1,4.84,25.04,14
W9xS,0.01,24.88,0
B6v5,1.92,24.96,7
Oikg,0.11,24.62,4
j6eI,0.15,25.08,0
wrne,0.13,25.03,0
AIj7,0.04,24.99,0
bG4K,0.14,24.66,2
ojp7,3.04,24.41,7
iOK8,0.8,25.08,9
sFSK,1.28,24.86,11
NPuJ,0.71,25.0,8
7aYk,0.38,24.65,3
8K3K,0.4,24.32,4
vmmR,0.54,24.71,3
PHDA,0.49,24.5,9
r6y8,0.07,24.76,1
g10F,1.3,24.34,3
bTFy,1.28,24.74,7
jiIo,0.02,24.51,0
3s1T,0.27,24.87,7
zcAF,0.29,24.47,1
7lvb,0.05,24.56,1
QymN,0.33,24.74,2
n0Gb,0.01,24.96,1
iTGU,1.42,24.46,12
EZ8c,2.34,24.57,22
2h25,0.18,24.64,0
GO2D,0.21,24.44,2
NFw6,1.07,24.41,12
zP04,1.7,24.78,10
8XwI,0.17,24.8,0
Y0EB,0.67,24.63,5
BNrD,0.02,24.65,2
hdbn,1.52,24.56,11
9eTE,0.0,24.92,1
w8zS,1.38,24.66,3
lnXJ,0.05,24.81,2
BzNA,0.26,24.9,2
C7cC,1.45,24.62,5
FzQn,2.62,24.97,7
y9Ch,0.81,24.9,8
DY9f,0.32,24.7,2
E2cD,0.02,24.89,1
Dazr,0.25,24.82,5
IMZE,0.0,25.06,0
3IZG,0.71,24.94,11
oBLw,1.07,25.01,4
CFDa,0.09,24.73,2
cs1r,0.12,24.97,5
FFwK,1.41,25.06,10
aK6J,0.52,24.31,3
tTo0,0.03,24.54,2
hK3b,0.27,24.83,4
hYiS,1.25,24.85,2
OqbH,2.15,25.02,8
usMx,1.44,24.83,8
A29D,0.0,24.86,0
0tGn,1.1,24.88,8
5B9q,1.76,24.53,9
vTYy,0.05,24.98,2
jPTt,0.0,24.92,2
WtAl,0.0,24.94,0
rb8P,0.1,25.02,0
OXro,0.02,24.77,0
t3w0,0.01,25.08,2
96VU,0.06,25.06,5
bnSu,0.45,24.98,4
fROn,0.48,25.05,7
9pll,0.33,25.04,11
jQ7Z,1.25,25.04,6
L6YW,0.03,24.32,0
c9Xk,0.3,24.91,4
MnU3,0.13,25.01,4
cnKJ,0.64,25.03,11
6Qsl,0.46,24.68,9
Qihc,0.0,25.07,0
QQ9W,0.73,24.45,6
9AlE,0.01,24.97,0
ACG7,0.03,24.43,0
